




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4862)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
energy derivation by oxidation of organic compounds (GO:0015980)	256	116	60.44	+	1.92	1.81E-08	1.02E-06
negative regulation of translation (GO:0017148)	184	92	43.44	+	2.12	1.88E-08	1.06E-06
cellular component disassembly (GO:0022411)	409	165	96.56	+	1.71	1.88E-08	1.06E-06
negative regulation of inflammatory response (GO:0050728)	320	29	75.54	-	.38	2.08E-08	1.16E-06
chemotaxis (GO:0006935)	547	66	129.13	-	.51	2.16E-08	1.20E-06
taxis (GO:0042330)	550	67	129.84	-	.52	2.45E-08	1.35E-06
positive regulation of RNA metabolic process (GO:0051254)	1773	546	418.56	+	1.30	2.45E-08	1.36E-06
establishment of localization (GO:0051234)	4631	1278	1093.27	+	1.17	2.49E-08	1.37E-06
nucleic acid transport (GO:0050657)	189	93	44.62	+	2.08	2.74E-08	1.50E-06
RNA transport (GO:0050658)	189	93	44.62	+	2.08	2.74E-08	1.50E-06
mitochondrial respiratory chain complex assembly (GO:0033108)	101	61	23.84	+	2.56	3.11E-08	1.70E-06
Golgi vesicle transport (GO:0048193)	398	160	93.96	+	1.70	3.15E-08	1.71E-06
RNA phosphodiester bond hydrolysis (GO:0090501)	164	84	38.72	+	2.17	3.37E-08	1.82E-06
cellular respiration (GO:0045333)	187	92	44.15	+	2.08	3.55E-08	1.91E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	479	360.73	+	1.33	3.55E-08	1.92E-06
cell recognition (GO:0008037)	241	18	56.89	-	.32	4.31E-08	2.31E-06
DNA-dependent DNA replication (GO:0006261)	195	94	46.03	+	2.04	4.37E-08	2.32E-06
protein folding (GO:0006457)	233	107	55.01	+	1.95	4.37E-08	2.33E-06
organelle fission (GO:0048285)	369	150	87.11	+	1.72	5.01E-08	2.66E-06
double-strand break repair (GO:0006302)	204	97	48.16	+	2.01	5.08E-08	2.69E-06
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	64	25.97	+	2.46	5.26E-08	2.76E-06
mRNA export from nucleus (GO:0006406)	110	64	25.97	+	2.46	5.26E-08	2.77E-06
positive regulation of cellular catabolic process (GO:0031331)	450	175	106.23	+	1.65	5.31E-08	2.78E-06
chromosome segregation (GO:0007059)	286	124	67.52	+	1.84	5.59E-08	2.91E-06
aerobic respiration (GO:0009060)	160	82	37.77	+	2.17	5.83E-08	3.03E-06
positive regulation of cellular process (GO:0048522)	5741	1547	1355.32	+	1.14	6.06E-08	3.14E-06
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	110	57.84	+	1.90	6.14E-08	3.16E-06
nucleobase-containing compound transport (GO:0015931)	245	110	57.84	+	1.90	6.14E-08	3.17E-06
regulation of protein catabolic process (GO:0042176)	398	158	93.96	+	1.68	7.57E-08	3.88E-06
mitotic spindle organization (GO:0007052)	163	82	38.48	+	2.13	7.80E-08	3.99E-06
ribosomal small subunit biogenesis (GO:0042274)	73	49	17.23	+	2.84	8.09E-08	4.13E-06
keratinocyte differentiation (GO:0030216)	270	23	63.74	-	.36	8.19E-08	4.16E-06
DNA recombination (GO:0006310)	225	103	53.12	+	1.94	8.49E-08	4.29E-06
negative regulation of cellular amide metabolic process (GO:0034249)	206	97	48.63	+	1.99	8.48E-08	4.30E-06
microtubule-based process (GO:0007017)	806	277	190.28	+	1.46	8.87E-08	4.47E-06
mRNA transport (GO:0051028)	160	81	37.77	+	2.14	8.93E-08	4.48E-06
response to stimulus (GO:0050896)	8540	1813	2016.10	-	.90	9.23E-08	4.62E-06
response to other organism (GO:0051707)	1425	237	336.41	-	.70	9.57E-08	4.77E-06
response to external biotic stimulus (GO:0043207)	1426	237	336.65	-	.70	9.60E-08	4.77E-06
mitochondrial transport (GO:0006839)	235	106	55.48	+	1.91	1.02E-07	5.05E-06
nuclear division (GO:0000280)	339	139	80.03	+	1.74	1.03E-07	5.09E-06
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	102	52.41	+	1.95	1.03E-07	5.10E-06
snRNA transcription (GO:0009301)	71	48	16.76	+	2.86	1.09E-07	5.33E-06
trans-synaptic signaling (GO:0099537)	432	49	101.99	-	.48	1.11E-07	5.43E-06
positive regulation of protein metabolic process (GO:0051247)	1562	483	368.75	+	1.31	1.24E-07	6.05E-06
negative regulation of immune system process (GO:0002683)	597	78	140.94	-	.55	1.25E-07	6.06E-06
ATP metabolic process (GO:0046034)	206	96	48.63	+	1.97	1.25E-07	6.08E-06
positive regulation of chromosome organization (GO:2001252)	182	88	42.97	+	2.05	1.28E-07	6.17E-06
ribosome assembly (GO:0042255)	62	44	14.64	+	3.01	1.42E-07	6.83E-06
phagocytosis, engulfment (GO:0006911)	132	5	31.16	-	.16	1.48E-07	7.13E-06
external encapsulating structure organization (GO:0045229)	386	42	91.13	-	.46	1.55E-07	7.38E-06
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	88	43.44	+	2.03	1.54E-07	7.38E-06
regulation of response to DNA damage stimulus (GO:2001020)	223	101	52.65	+	1.92	1.61E-07	7.66E-06
snRNA transcription by RNA polymerase II (GO:0042795)	70	47	16.53	+	2.84	1.66E-07	7.90E-06
regulation of proteasomal protein catabolic process (GO:0061136)	187	89	44.15	+	2.02	1.79E-07	8.46E-06
cell cycle checkpoint signaling (GO:0000075)	188	89	44.38	+	2.01	1.95E-07	9.22E-06
extracellular matrix organization (GO:0030198)	383	42	90.42	-	.46	2.01E-07	9.45E-06
B cell receptor signaling pathway (GO:0050853)	129	5	30.45	-	.16	2.14E-07	1.00E-05
oxidative phosphorylation (GO:0006119)	120	65	28.33	+	2.29	2.53E-07	1.18E-05
response to endoplasmic reticulum stress (GO:0034976)	260	112	61.38	+	1.82	2.57E-07	1.20E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	24	63.50	-	.38	2.76E-07	1.28E-05
transport (GO:0006810)	4476	1224	1056.68	+	1.16	2.94E-07	1.36E-05
positive regulation of organelle organization (GO:0010638)	605	216	142.83	+	1.51	3.07E-07	1.42E-05
anterograde trans-synaptic signaling (GO:0098916)	414	48	97.74	-	.49	3.32E-07	1.52E-05
chemical synaptic transmission (GO:0007268)	414	48	97.74	-	.49	3.32E-07	1.53E-05
leukocyte migration (GO:0050900)	379	42	89.47	-	.47	3.41E-07	1.56E-05
neuropeptide signaling pathway (GO:0007218)	109	3	25.73	-	.12	3.50E-07	1.60E-05
blood circulation (GO:0008015)	390	44	92.07	-	.48	3.70E-07	1.69E-05
extracellular structure organization (GO:0043062)	384	43	90.65	-	.47	4.09E-07	1.85E-05
regulation of cellular protein catabolic process (GO:1903362)	256	110	60.44	+	1.82	4.08E-07	1.85E-05
regulation of immune response (GO:0050776)	1183	193	279.28	-	.69	4.36E-07	1.97E-05
opsonization (GO:0008228)	72	0	17.00	-	 < 0.01	4.47E-07	2.01E-05
synaptic signaling (GO:0099536)	464	57	109.54	-	.52	4.67E-07	2.10E-05
tRNA modification (GO:0006400)	93	54	21.96	+	2.46	4.75E-07	2.13E-05
sister chromatid segregation (GO:0000819)	149	74	35.18	+	2.10	5.10E-07	2.28E-05
positive regulation of mRNA metabolic process (GO:1903313)	136	69	32.11	+	2.15	6.73E-07	3.00E-05
mRNA 3'-end processing (GO:0031124)	88	52	20.77	+	2.50	6.83E-07	3.03E-05
epithelial cell differentiation (GO:0030855)	686	98	161.95	-	.61	7.21E-07	3.19E-05
protein acetylation (GO:0006473)	138	70	32.58	+	2.15	7.62E-07	3.36E-05
macroautophagy (GO:0016236)	199	90	46.98	+	1.92	8.01E-07	3.52E-05
generation of precursor metabolites and energy (GO:0006091)	403	154	95.14	+	1.62	8.18E-07	3.58E-05
positive regulation of cellular amide metabolic process (GO:0034250)	168	80	39.66	+	2.02	8.18E-07	3.59E-05
endosomal transport (GO:0016197)	235	102	55.48	+	1.84	8.35E-07	3.64E-05
regulation of protein stability (GO:0031647)	306	124	72.24	+	1.72	8.69E-07	3.78E-05
lymphocyte mediated immunity (GO:0002449)	259	24	61.14	-	.39	8.91E-07	3.87E-05
regulation of immune effector process (GO:0002697)	435	53	102.69	-	.52	8.99E-07	3.89E-05
mRNA destabilization (GO:0061157)	90	52	21.25	+	2.45	9.03E-07	3.90E-05
peptidyl-lysine acetylation (GO:0018394)	119	63	28.09	+	2.24	9.13E-07	3.93E-05
positive regulation of cellular protein metabolic process (GO:0032270)	1474	451	347.98	+	1.30	9.98E-07	4.29E-05
B cell mediated immunity (GO:0019724)	205	16	48.40	-	.33	1.07E-06	4.60E-05
positive regulation of translation (GO:0045727)	137	69	32.34	+	2.13	1.08E-06	4.60E-05
chromatin remodeling (GO:0006338)	173	81	40.84	+	1.98	1.12E-06	4.78E-05
peptide cross-linking (GO:0018149)	102	3	24.08	-	.12	1.14E-06	4.85E-05
microtubule cytoskeleton organization (GO:0000226)	567	201	133.86	+	1.50	1.15E-06	4.86E-05
RNA methylation (GO:0001510)	88	51	20.77	+	2.45	1.16E-06	4.89E-05
nucleosome organization (GO:0034728)	156	75	36.83	+	2.04	1.23E-06	5.18E-05
regulation of immune system process (GO:0002682)	1717	306	405.34	-	.75	1.30E-06	5.47E-05
cell-cell signaling (GO:0007267)	1131	186	267.00	-	.70	1.34E-06	5.63E-05
RNA destabilization (GO:0050779)	94	53	22.19	+	2.39	1.37E-06	5.71E-05
cell migration (GO:0016477)	968	154	228.52	-	.67	1.39E-06	5.78E-05
immunoglobulin mediated immune response (GO:0016064)	201	16	47.45	-	.34	1.44E-06	6.00E-05
protein acylation (GO:0043543)	178	82	42.02	+	1.95	1.52E-06	6.31E-05
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	7	31.63	-	.22	1.55E-06	6.39E-05
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	78	39.19	+	1.99	1.57E-06	6.50E-05
regulation of protein ubiquitination (GO:0031396)	213	93	50.28	+	1.85	1.68E-06	6.93E-05
plasma membrane invagination (GO:0099024)	141	8	33.29	-	.24	1.80E-06	7.39E-05
respiratory electron transport chain (GO:0022904)	112	59	26.44	+	2.23	1.91E-06	7.82E-05
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	59	26.44	+	2.23	1.91E-06	7.84E-05
chromatin assembly or disassembly (GO:0006333)	170	79	40.13	+	1.97	2.01E-06	8.18E-05
regulation of mRNA processing (GO:0050684)	140	69	33.05	+	2.09	2.06E-06	8.34E-05
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	61	27.86	+	2.19	2.06E-06	8.36E-05
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	67	31.87	+	2.10	2.15E-06	8.67E-05
negative regulation of defense response (GO:0031348)	402	49	94.90	-	.52	2.17E-06	8.75E-05
negative regulation of immune response (GO:0050777)	373	44	88.06	-	.50	2.18E-06	8.77E-05
mitotic cell cycle checkpoint signaling (GO:0007093)	159	75	37.54	+	2.00	2.21E-06	8.86E-05
nuclear chromosome segregation (GO:0098813)	227	97	53.59	+	1.81	2.26E-06	9.04E-05
regulation of cellular component organization (GO:0051128)	2390	686	564.22	+	1.22	2.30E-06	9.20E-05
histone acetylation (GO:0016573)	110	58	25.97	+	2.23	2.51E-06	9.99E-05
protein alkylation (GO:0008213)	131	65	30.93	+	2.10	2.54E-06	1.00E-04
protein methylation (GO:0006479)	131	65	30.93	+	2.10	2.54E-06	1.01E-04
regulation of cell cycle G2/M phase transition (GO:1902749)	222	95	52.41	+	1.81	2.58E-06	1.02E-04
immune system process (GO:0002376)	2903	562	685.33	-	.82	2.61E-06	1.03E-04
mitotic sister chromatid segregation (GO:0000070)	121	62	28.57	+	2.17	2.65E-06	1.04E-04
regulation of autophagy (GO:0010506)	331	129	78.14	+	1.65	2.68E-06	1.05E-04
internal peptidyl-lysine acetylation (GO:0018393)	116	60	27.38	+	2.19	2.69E-06	1.05E-04
localization (GO:0051179)	5831	1542	1376.56	+	1.12	2.92E-06	1.14E-04
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	92	50.05	+	1.84	3.07E-06	1.20E-04
DNA-templated transcription, termination (GO:0006353)	79	46	18.65	+	2.47	3.27E-06	1.27E-04
internal protein amino acid acetylation (GO:0006475)	118	60	27.86	+	2.15	3.35E-06	1.30E-04
positive regulation of immune system process (GO:0002684)	1069	177	252.37	-	.70	3.71E-06	1.43E-04
cell motility (GO:0048870)	1109	185	261.81	-	.71	3.87E-06	1.49E-04
localization of cell (GO:0051674)	1109	185	261.81	-	.71	3.87E-06	1.49E-04
phosphorus metabolic process (GO:0006793)	1835	539	433.20	+	1.24	4.04E-06	1.55E-04
ATP-dependent chromatin remodeling (GO:0043044)	77	45	18.18	+	2.48	4.20E-06	1.61E-04
negative regulation of RNA metabolic process (GO:0051253)	1408	427	332.40	+	1.28	4.24E-06	1.62E-04
positive regulation of mRNA catabolic process (GO:0061014)	105	55	24.79	+	2.22	4.27E-06	1.63E-04
circulatory system process (GO:0003013)	481	64	113.55	-	.56	4.37E-06	1.66E-04
potassium ion transmembrane transport (GO:0071805)	158	11	37.30	-	.29	4.70E-06	1.78E-04
organophosphate biosynthetic process (GO:0090407)	552	192	130.31	+	1.47	5.19E-06	1.96E-04
signal transduction in response to DNA damage (GO:0042770)	167	76	39.42	+	1.93	5.23E-06	1.97E-04
DNA packaging (GO:0006323)	202	87	47.69	+	1.82	5.55E-06	2.09E-04
organelle localization (GO:0051640)	609	208	143.77	+	1.45	5.73E-06	2.15E-04
positive regulation of biological process (GO:0048518)	6331	1659	1494.60	+	1.11	5.72E-06	2.15E-04
regulation of humoral immune response (GO:0002920)	142	9	33.52	-	.27	5.80E-06	2.17E-04
regulation of RNA splicing (GO:0043484)	150	70	35.41	+	1.98	6.03E-06	2.25E-04
mitochondrial RNA metabolic process (GO:0000959)	41	30	9.68	+	3.10	6.33E-06	2.35E-04
cell cycle phase transition (GO:0044770)	270	108	63.74	+	1.69	6.65E-06	2.47E-04
viral life cycle (GO:0019058)	230	96	54.30	+	1.77	6.73E-06	2.49E-04
regulation of cell motility (GO:2000145)	954	156	225.22	-	.69	6.88E-06	2.54E-04
regulation of cytosolic calcium ion concentration (GO:0051480)	321	37	75.78	-	.49	6.99E-06	2.58E-04
epidermal cell differentiation (GO:0009913)	322	37	76.02	-	.49	7.04E-06	2.59E-04
regulation of gene expression, epigenetic (GO:0040029)	173	77	40.84	+	1.89	7.57E-06	2.77E-04
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	48	20.54	+	2.34	7.55E-06	2.77E-04
ion transport (GO:0006811)	1200	206	283.29	-	.73	7.71E-06	2.81E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	4	23.61	-	.17	7.71E-06	2.81E-04
aerobic electron transport chain (GO:0019646)	88	48	20.77	+	2.31	8.46E-06	3.06E-04
ATP synthesis coupled electron transport (GO:0042773)	93	50	21.96	+	2.28	8.44E-06	3.06E-04
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	50	21.96	+	2.28	8.44E-06	3.07E-04
regulation of system process (GO:0044057)	585	85	138.10	-	.62	8.79E-06	3.17E-04
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	31	66.81	-	.46	9.18E-06	3.30E-04
potassium ion transport (GO:0006813)	167	13	39.42	-	.33	9.63E-06	3.46E-04
regulation of stem cell differentiation (GO:2000736)	116	58	27.38	+	2.12	9.96E-06	3.57E-04
positive regulation of cellular component organization (GO:0051130)	1161	357	274.09	+	1.30	1.01E-05	3.61E-04
sensory perception of taste (GO:0050909)	69	1	16.29	-	.06	1.05E-05	3.73E-04
regulation of cell migration (GO:0030334)	892	145	210.58	-	.69	1.06E-05	3.79E-04
maturation of 5.8S rRNA (GO:0000460)	35	27	8.26	+	3.27	1.08E-05	3.83E-04
phosphate-containing compound metabolic process (GO:0006796)	1808	527	426.83	+	1.23	1.11E-05	3.92E-04
response to ionizing radiation (GO:0010212)	148	68	34.94	+	1.95	1.17E-05	4.13E-04
regulation of DNA repair (GO:0006282)	130	62	30.69	+	2.02	1.20E-05	4.23E-04
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	37	14.16	+	2.61	1.20E-05	4.23E-04
animal organ morphogenesis (GO:0009887)	956	158	225.69	-	.70	1.22E-05	4.30E-04
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	30	9.92	+	3.03	1.26E-05	4.43E-04
DNA integrity checkpoint signaling (GO:0031570)	150	69	35.41	+	1.95	1.27E-05	4.44E-04
negative regulation of cellular process (GO:0048523)	4902	1304	1157.25	+	1.13	1.27E-05	4.45E-04
signal transduction by p53 class mediator (GO:0072331)	119	58	28.09	+	2.06	1.30E-05	4.54E-04
positive regulation of cell activation (GO:0050867)	440	59	103.87	-	.57	1.47E-05	5.11E-04
positive regulation of leukocyte activation (GO:0002696)	429	57	101.28	-	.56	1.48E-05	5.13E-04
mitochondrial membrane organization (GO:0007006)	146	67	34.47	+	1.94	1.48E-05	5.13E-04
regulation of gene silencing (GO:0060968)	116	57	27.38	+	2.08	1.51E-05	5.20E-04
regulation of locomotion (GO:0040012)	997	167	235.37	-	.71	1.56E-05	5.36E-04
mitotic cell cycle phase transition (GO:0044772)	262	104	61.85	+	1.68	1.61E-05	5.52E-04
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	1	15.82	-	.06	1.61E-05	5.53E-04
protein localization to mitochondrion (GO:0070585)	85	46	20.07	+	2.29	1.62E-05	5.54E-04
response to chemical (GO:0042221)	4381	900	1034.25	-	.87	1.66E-05	5.65E-04
leukocyte chemotaxis (GO:0030595)	143	10	33.76	-	.30	1.76E-05	6.00E-04
cornification (GO:0070268)	113	6	26.68	-	.22	1.77E-05	6.00E-04
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	91	48	21.48	+	2.23	1.78E-05	6.03E-04
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	70	36.83	+	1.90	1.79E-05	6.04E-04
skin development (GO:0043588)	385	50	90.89	-	.55	2.03E-05	6.86E-04
vacuole organization (GO:0007033)	145	66	34.23	+	1.93	2.05E-05	6.93E-04
regulation of cell activation (GO:0050865)	664	102	156.75	-	.65	2.06E-05	6.94E-04
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	43	18.41	+	2.34	2.12E-05	7.10E-04
regulation of chromatin organization (GO:1902275)	211	87	49.81	+	1.75	2.16E-05	7.23E-04
regulation of cellular component movement (GO:0051270)	1032	175	243.63	-	.72	2.17E-05	7.25E-04
nucleotide-excision repair (GO:0006289)	104	52	24.55	+	2.12	2.23E-05	7.45E-04
response to biotic stimulus (GO:0009607)	1547	282	365.21	-	.77	2.30E-05	7.64E-04
DNA geometric change (GO:0032392)	110	54	25.97	+	2.08	2.31E-05	7.65E-04
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	32	11.57	+	2.77	2.30E-05	7.66E-04
negative regulation of biological process (GO:0048519)	5501	1446	1298.66	+	1.11	2.39E-05	7.90E-04
cell differentiation (GO:0030154)	3575	723	843.97	-	.86	2.74E-05	9.03E-04
regulation of response to external stimulus (GO:0032101)	1199	210	283.06	-	.74	2.79E-05	9.18E-04
divalent inorganic cation homeostasis (GO:0072507)	481	68	113.55	-	.60	2.83E-05	9.31E-04
regulation of complement activation (GO:0030449)	118	7	27.86	-	.25	2.90E-05	9.50E-04
regulation of gene silencing by RNA (GO:0060966)	97	49	22.90	+	2.14	3.08E-05	1.01E-03
cytochrome complex assembly (GO:0017004)	36	26	8.50	+	3.06	3.09E-05	1.01E-03
establishment of protein localization to mitochondrion (GO:0072655)	77	42	18.18	+	2.31	3.12E-05	1.02E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	55	27.15	+	2.03	3.34E-05	1.09E-03
centrosome cycle (GO:0007098)	88	46	20.77	+	2.21	3.39E-05	1.10E-03
post-Golgi vesicle-mediated transport (GO:0006892)	136	62	32.11	+	1.93	3.71E-05	1.20E-03
regulation of hematopoietic stem cell differentiation (GO:1902036)	74	41	17.47	+	2.35	3.75E-05	1.21E-03
epidermis development (GO:0008544)	422	58	99.62	-	.58	3.86E-05	1.25E-03
apoptotic process (GO:0006915)	913	285	215.54	+	1.32	3.95E-05	1.27E-03
cellular divalent inorganic cation homeostasis (GO:0072503)	460	65	108.60	-	.60	3.99E-05	1.28E-03
positive regulation of protein catabolic process (GO:0045732)	237	94	55.95	+	1.68	4.00E-05	1.28E-03
response to UV (GO:0009411)	151	67	35.65	+	1.88	4.01E-05	1.28E-03
tissue development (GO:0009888)	1729	323	408.18	-	.79	4.08E-05	1.30E-03
double-strand break repair via homologous recombination (GO:0000724)	101	50	23.84	+	2.10	4.11E-05	1.31E-03
calcium ion homeostasis (GO:0055074)	438	61	103.40	-	.59	4.18E-05	1.33E-03
regulation of ion transmembrane transport (GO:0034765)	502	73	118.51	-	.62	4.31E-05	1.37E-03
positive regulation of transcription, DNA-templated (GO:0045893)	1628	473	384.33	+	1.23	4.36E-05	1.38E-03
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	473	384.33	+	1.23	4.36E-05	1.38E-03
negative regulation of multicellular organismal process (GO:0051241)	1014	174	239.38	-	.73	4.35E-05	1.38E-03
regulation of posttranscriptional gene silencing (GO:0060147)	96	48	22.66	+	2.12	4.44E-05	1.40E-03
transcription by RNA polymerase III (GO:0006383)	32	24	7.55	+	3.18	4.49E-05	1.41E-03
positive regulation of lymphocyte activation (GO:0051251)	384	51	90.65	-	.56	4.51E-05	1.42E-03
response to starvation (GO:0042594)	232	92	54.77	+	1.68	4.55E-05	1.43E-03
regulation of macroautophagy (GO:0016241)	161	70	38.01	+	1.84	4.64E-05	1.45E-03
response to topologically incorrect protein (GO:0035966)	191	79	45.09	+	1.75	4.73E-05	1.48E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	61	31.63	+	1.93	4.77E-05	1.49E-03
positive regulation of RNA biosynthetic process (GO:1902680)	1629	473	384.57	+	1.23	4.93E-05	1.53E-03
regulation of leukocyte activation (GO:0002694)	622	96	146.84	-	.65	4.98E-05	1.54E-03
epithelium development (GO:0060429)	1113	195	262.75	-	.74	5.16E-05	1.59E-03
amino acid activation (GO:0043038)	50	31	11.80	+	2.63	5.20E-05	1.60E-03
movement of cell or subcellular component (GO:0006928)	1596	296	376.78	-	.79	5.23E-05	1.61E-03
cellular calcium ion homeostasis (GO:0006874)	425	59	100.33	-	.59	5.27E-05	1.62E-03
regulation of multicellular organismal process (GO:0051239)	2673	528	631.03	-	.84	5.30E-05	1.63E-03
respiratory chain complex IV assembly (GO:0008535)	26	21	6.14	+	3.42	5.45E-05	1.67E-03
microtubule organizing center organization (GO:0031023)	100	49	23.61	+	2.08	5.86E-05	1.79E-03
regulation of blood circulation (GO:1903522)	278	33	65.63	-	.50	5.95E-05	1.80E-03
post-translational protein modification (GO:0043687)	361	130	85.22	+	1.53	5.92E-05	1.80E-03
protein K48-linked ubiquitination (GO:0070936)	60	35	14.16	+	2.47	5.97E-05	1.80E-03
axon guidance (GO:0007411)	277	33	65.39	-	.50	5.94E-05	1.81E-03
termination of RNA polymerase II transcription (GO:0006369)	40	27	9.44	+	2.86	5.92E-05	1.81E-03
neuron projection guidance (GO:0097485)	278	33	65.63	-	.50	5.95E-05	1.81E-03
positive regulation of viral process (GO:0048524)	89	45	21.01	+	2.14	6.13E-05	1.85E-03
muscle contraction (GO:0006936)	241	27	56.89	-	.47	6.27E-05	1.89E-03
positive regulation of cell cycle (GO:0045787)	310	115	73.18	+	1.57	6.30E-05	1.89E-03
ion transmembrane transport (GO:0034220)	870	146	205.39	-	.71	6.38E-05	1.91E-03
lymphocyte chemotaxis (GO:0048247)	49	0	11.57	-	 < 0.01	6.38E-05	1.91E-03
spliceosomal complex assembly (GO:0000245)	56	33	13.22	+	2.50	6.56E-05	1.96E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	69	38.01	+	1.82	6.56E-05	1.96E-03
endomembrane system organization (GO:0010256)	530	178	125.12	+	1.42	6.70E-05	1.99E-03
electron transport chain (GO:0022900)	170	72	40.13	+	1.79	6.98E-05	2.08E-03
telomere organization (GO:0032200)	103	50	24.32	+	2.06	7.10E-05	2.10E-03
recombinational repair (GO:0000725)	103	50	24.32	+	2.06	7.10E-05	2.11E-03
regulation of cell cycle G1/S phase transition (GO:1902806)	178	74	42.02	+	1.76	7.26E-05	2.14E-03
DNA damage checkpoint signaling (GO:0000077)	142	63	33.52	+	1.88	7.38E-05	2.17E-03
regulation of telomere maintenance (GO:0032204)	81	42	19.12	+	2.20	7.36E-05	2.17E-03
regulation of translational initiation (GO:0006446)	81	42	19.12	+	2.20	7.36E-05	2.17E-03
cell chemotaxis (GO:0060326)	203	21	47.92	-	.44	7.77E-05	2.28E-03
chromatin assembly (GO:0031497)	150	65	35.41	+	1.84	7.84E-05	2.30E-03
tRNA aminoacylation (GO:0043039)	49	30	11.57	+	2.59	8.04E-05	2.35E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	56	29.04	+	1.93	8.19E-05	2.38E-03
positive regulation of ion transport (GO:0043270)	297	37	70.11	-	.53	8.18E-05	2.39E-03
DNA biosynthetic process (GO:0071897)	117	54	27.62	+	1.96	8.34E-05	2.42E-03
telomere maintenance (GO:0000723)	99	48	23.37	+	2.05	8.34E-05	2.42E-03
intracellular transport of virus (GO:0075733)	54	32	12.75	+	2.51	8.38E-05	2.43E-03
DNA duplex unwinding (GO:0032508)	105	50	24.79	+	2.02	8.43E-05	2.43E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	52	26.20	+	1.98	8.43E-05	2.44E-03
vesicle organization (GO:0016050)	313	115	73.89	+	1.56	8.70E-05	2.50E-03
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	384	306.66	+	1.25	8.91E-05	2.56E-03
detection of external stimulus (GO:0009581)	137	11	32.34	-	.34	9.05E-05	2.59E-03
negative regulation of RNA biosynthetic process (GO:1902679)	1301	384	307.14	+	1.25	9.04E-05	2.59E-03
anatomical structure morphogenesis (GO:0009653)	2158	419	509.45	-	.82	9.08E-05	2.60E-03
inorganic ion transmembrane transport (GO:0098660)	637	101	150.38	-	.67	9.46E-05	2.70E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	41	18.65	+	2.20	9.54E-05	2.71E-03
regulation of cellular response to heat (GO:1900034)	79	41	18.65	+	2.20	9.54E-05	2.72E-03
positive regulation of DNA metabolic process (GO:0051054)	202	81	47.69	+	1.70	9.60E-05	2.72E-03
establishment of organelle localization (GO:0051656)	398	139	93.96	+	1.48	9.80E-05	2.78E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	298	376.07	-	.79	9.83E-05	2.78E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	45	21.48	+	2.09	1.05E-04	2.96E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	51	25.73	+	1.98	1.07E-04	3.03E-03
negative regulation of transcription, DNA-templated (GO:0045892)	1297	382	306.19	+	1.25	1.14E-04	3.21E-03
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	36	15.58	+	2.31	1.16E-04	3.25E-03
